filename,roi.x1,roi.y1,roi.x2,roi.y2,class_id
00000.png,5,6,24,25,0
00001.png,5,5,25,25,0
00002.png,5,5,25,25,0
00003.png,5,5,26,26,0
00004.png,5,6,25,26,0
00005.png,6,6,26,26,0
00006.png,6,6,28,28,0
00007.png,6,6,29,30,0
00008.png,5,5,28,29,0
00009.png,6,5,30,30,0
00010.png,5,5,30,31,0
00011.png,6,6,32,33,0
00012.png,5,6,32,33,0
00013.png,6,5,35,34,0
00014.png,5,6,36,37,0
00015.png,6,6,39,39,0
00016.png,6,5,41,39,0
00017.png,6,6,42,42,0
00018.png,5,5,45,43,0
00019.png,5,5,48,46,0
00020.png,6,5,51,49,0
00021.png,6,6,53,53,0
00022.png,6,5,57,56,0
00023.png,7,7,64,64,0
00024.png,7,7,70,70,0
00025.png,7,8,78,79,0
00026.png,8,8,89,88,0
00027.png,9,10,99,101,0
00028.png,10,11,113,116,0
00029.png,12,13,132,136,0
00300.png,5,6,20,21,1
00301.png,6,6,21,22,1
00302.png,6,5,21,21,1
00303.png,6,5,22,22,1
00304.png,5,6,22,24,1
00305.png,5,6,23,25,1
00306.png,5,6,24,26,1
00307.png,6,6,28,27,1
00308.png,6,6,29,28,1
00309.png,6,6,29,29,1
00310.png,5,6,30,31,1
00311.png,5,6,31,32,1
00312.png,5,5,32,32,1
00313.png,5,6,32,33,1
00314.png,6,6,34,34,1
00315.png,6,6,36,36,1
00316.png,5,6,37,38,1
00317.png,5,5,40,40,1
00318.png,6,5,45,44,1
00319.png,6,5,49,48,1
00320.png,5,6,48,50,1
00321.png,6,6,52,53,1
00322.png,6,6,58,59,1
00323.png,6,7,64,66,1
00324.png,6,7,70,72,1
00325.png,8,7,79,79,1
00326.png,9,9,89,90,1
00327.png,10,10,104,106,1
00328.png,11,13,122,128,1
00329.png,15,14,150,156,1
00330.png,6,5,35,35,1
00331.png,5,6,36,37,1
00332.png,6,5,38,37,1
00333.png,5,5,39,41,1
00334.png,6,5,44,42,1
00335.png,6,5,47,46,1
00336.png,6,5,48,47,1
00337.png,5,5,55,56,1
00338.png,5,6,57,60,1
00339.png,6,7,67,69,1
00340.png,8,7,76,73,1
00341.png,9,7,84,81,1
